dateRep,cases,countriesAndTerritories,cNum
29/04/2020,1304,Germany,36.20487224
30/04/2020,1478,Germany,34.5329701
1/5/2020,1639,Germany,32.43586518
2/5/2020,945,Germany,29.22696942
3/5/2020,793,Germany,27.22140958
4/5/2020,679,Germany,25.90123325
5/5/2020,685,Germany,24.57623876
6/5/2020,947,Germany,23.02238158
7/5/2020,1284,Germany,21.73593238
8/5/2020,1209,Germany,20.37721075
9/5/2020,1251,Germany,19.40876023
10/5/2020,667,Germany,18.11990196
11/5/2020,357,Germany,17.32370072
12/5/2020,933,Germany,17.06954269
13/05/2020,798,Germany,16.46004522
14/05/2020,933,Germany,15.80357067
15/05/2020,913,Germany,14.92907431
16/05/2020,620,Germany,14.53759866
17/05/2020,583,Germany,14.28464517
18/05/2020,342,Germany,13.87871504
19/05/2020,513,Germany,13.67153408
20/05/2020,797,Germany,13.49085301
21/05/2020,745,Germany,12.84160571
22/05/2020,460,Germany,11.93940492
23/05/2020,638,Germany,11.20102162
24/05/2020,431,Germany,10.91675008
